Interval	Label	Start	End	Duration	F1	F2	F3	Source_File
2	Segment_1	0.218	0.530	0.312	244.8	2096.7	2810.6	h_d_AmEng1_formants
4	Segment_2	1.098	1.450	0.352	295.4	1998.6	2687.1	h_d_AmEng1_formants
6	Segment_3	2.250	2.570	0.320	348.4	1888.2	2692.2	h_d_AmEng1_formants
8	Segment_4	3.186	3.546	0.360	466.3	1821.8	2604.2	h_d_AmEng1_formants
10	Segment_5	4.162	4.498	0.336	447.5	1293.4	2574.8	h_d_AmEng1_formants
12	Segment_6	5.146	5.466	0.320	422.9	1133.3	2587.1	h_d_AmEng1_formants
14	Segment_7	6.106	6.442	0.336	435.1	1592.2	2625.3	h_d_AmEng1_formants
16	Segment_8	7.098	7.466	0.368	267.0	1424.8	2638.0	h_d_AmEng1_formants
2	Segment_1	2.905	3.145	0.240	275.9	2783.4	3417.5	h_d_AmEng2_formants
4	Segment_2	5.353	5.569	0.216	480.8	2158.8	3063.0	h_d_AmEng2_formants
6	Segment_3	8.161	8.489	0.328	723.5	1906.5	2707.7	h_d_AmEng2_formants
8	Segment_4	10.865	11.225	0.360	1076.5	1862.2	2758.9	h_d_AmEng2_formants
10	Segment_5	13.361	13.697	0.336	959.4	1489.7	2986.3	h_d_AmEng2_formants
12	Segment_6	15.721	16.065	0.344	783.9	1276.5	2921.0	h_d_AmEng2_formants
14	Segment_7	18.137	18.385	0.248	482.9	1552.4	2876.9	h_d_AmEng2_formants
16	Segment_8	20.761	21.073	0.312	333.1	1327.4	3002.0	h_d_AmEng2_formants
2	Segment_1	1.827	2.379	0.552	339.0	2183.4	3073.5	h_d_AuEng1_formants
4	Segment_2	3.443	4.019	0.576	288.0	2002.2	2834.3	h_d_AuEng1_formants
6	Segment_3	4.827	5.379	0.552	328.9	1621.0	2471.1	h_d_AuEng1_formants
8	Segment_4	6.331	6.979	0.648	453.0	1548.5	2631.5	h_d_AuEng1_formants
